Borough,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally
City of London,12420.5,208,14.7,212,0,195,0,220,24167,236,8080,292,0.1,280,0,201,431,316,8325.3,286,0.1,286,0,209,218.5,316,5270.4,314,5.5,314,0,243,8758.3,247,-0.7,254,0,173,1234.8,317,-1.7,317,0,201,28055.8,10,35.7,10,0.7,5,26411.2,10,39,13,0.3,22
Barking and Dagenham,25551.9,5,32.8,21,0,139,0.5,20,29391.9,125,25142.7,4,0.2,20,0,136,39254,51,21951.1,43,0.1,70,0,209,14074.8,73,21696.4,44,25.5,101,0,243,19499.7,94,0.2,96,0,162,23668.3,21,0.5,28,0.1,55,31669.7,2,46.3,2,0.9,3,23068.5,41,29.1,52,0,165
Barnet,13803.4,184,16.1,190,0,193,0.1,194,26151.4,196,16104.1,137,0.1,149,0,185,41746,45,13169.1,201,0.1,205,0,209,16661,57,7894.6,302,7.8,302,0,243,5011.8,297,-1.1,298,0,173,17479.5,111,0.1,113,0,168,25355.6,20,31.2,21,0.2,42,20275.3,71,24.7,91,0,191
Bexley,13529.7,190,16.3,187,0,195,0.1,175,27051.8,179,14732.3,171,0.1,170,0,198,25467,95,13522.2,194,0.1,193,0,203,10756,98,16899.3,140,18.3,175,0,241,9446.2,228,-0.6,230,0,173,14596.5,165,-0.1,156,0,172,20691,58,25.9,61,0.1,101,16997,123,19.8,144,0,251
Brent,21083,49,25.6,79,0.1,116,0.2,101,29908.7,114,21445.3,38,0.2,65,0.1,92,50137,27,17690.6,110,0.1,122,0,132,19894.8,42,14477.3,199,15.2,225,0,243,10642.8,210,-0.5,207,0,173,21996.4,45,0.4,49,0.1,68,30661.4,4,42.8,3,0.8,4,22811.3,46,28.7,54,0,180
Bromley,11297.5,230,14.2,223,0,192,0.1,176,27626.6,170,12232.8,219,0.1,207,0,135,29540,82,11414.4,231,0.1,224,0,208,12757.5,82,9841.2,281,10.6,277,0,243,6522.5,275,-0.9,280,0,173,15906.4,132,0,132,0.1,121,22995.1,32,27.8,40,0.1,112,15733,140,18.4,166,0,251
Camden,16763.3,132,20.1,138,0,195,0.1,139,27872.9,167,18655.6,87,0.1,90,0.1,97,34330,63,15925.9,151,0.1,148,0,199,14945.5,66,10337.7,274,10.5,279,0,243,10894.3,207,-0.6,227,0,173,20400.7,70,0.3,69,0.1,72,17780.1,132,21.6,152,0,250,24878.5,22,33.5,35,0.1,66
Croydon,18371.2,102,22.5,108,0,157,0.2,109,29186.8,133,18584.2,89,0.1,97,0.1,115,51702,26,16769.5,128,0.1,143,0,195,20961.3,32,14304.1,203,15.6,220,0,224,14352.6,165,-0.2,165,0,172,20068.8,74,0.3,74,0.1,122,27123.4,15,34,14,0.4,14,20381,69,26,77,0.1,130
Ealing,18991.7,88,22.7,105,0,163,0.2,127,28827.7,143,19531.3,63,0.1,94,0.1,114,48235,34,16590.7,136,0.1,146,0,161,19506.8,43,12144.4,246,12.5,253,0,243,12374.1,189,-0.3,189,0,173,19489.7,80,0.2,79,0.1,99,28039.4,11,36.5,6,0.5,9,23725.1,34,30.3,46,0,161
Enfield,20418.7,59,25.8,74,0.1,119,0.3,61,29748.5,116,21937.5,30,0.2,41,0.1,65,56010,17,18498.5,92,0.1,104,0,176,20119.5,40,16856,141,20.3,145,0,242,9915.4,221,-0.5,222,0,173,19084.4,84,0.2,89,0,147,29478.9,5,39.7,5,0.6,6,21993.3,53,27.5,65,0,182
Greenwich,20383.8,60,24.5,88,0,191,0.2,105,28579.9,151,21413.4,39,0.2,57,0.1,120,43334,43,18637.7,90,0.1,107,0,166,17715.5,51,14736.5,193,15.6,218,0,243,16405.4,132,0,134,0,169,22514.7,36,0.5,45,0.1,91,26085.3,17,32.3,17,0.3,20,20159.7,73,24.6,92,0,170
Hackney,25312.6,7,32.5,22,0.1,78,0.4,25,30187.7,107,24634.7,5,0.2,19,0.2,40,52473,23,20677.3,57,0.1,75,0,139,21033.5,31,13748.7,214,15,229,0,239,21637.9,67,0.4,75,0,139,24250.5,15,0.6,20,0.2,30,31221.8,3,42.7,4,0.9,2,26058.4,14,36.1,21,0.2,55
Hammersmith and Fulham,18643.5,96,22.3,112,0,185,0.2,124,28576.7,152,19094.3,78,0.1,88,0.1,108,25704,94,16749.6,130,0.1,133,0,170,11701.8,92,8311.5,299,8.1,300,0,243,16097.8,137,-0.1,141,0,163,21048.9,58,0.3,63,0.1,110,23737.6,30,28.3,34,0.1,150,26012.4,16,35,25,0.1,68
Haringey,21887.6,37,28,49,0.1,84,0.3,52,30429.9,97,21844.2,31,0.2,42,0.1,66,45603,38,18938.8,83,0.1,93,0,130,18886.8,45,15035.5,184,17.6,190,0,243,15020,154,-0.1,157,0,168,25422.8,9,0.7,11,0.3,25,28056.1,9,35.1,12,0.4,13,25874.1,17,34.4,30,0.1,123
Harrow,13071.3,199,15,207,0,195,0,231,24571.7,227,16269.8,132,0.1,156,0,201,26735,90,12069.1,220,0.1,227,0,209,9792,109,8315.4,298,8,301,0,243,4760,298,-1,293,0,173,14342.3,166,-0.1,163,0,201,27314.5,14,33.9,15,0.3,24,16503.9,127,19,156,0,251
Havering,14036,179,16.8,180,0,190,0.1,171,27349.3,174,15178.1,159,0.1,162,0,167,26766,89,14074.2,183,0.1,186,0,204,11171.3,97,19190.2,95,22.6,126,0,198,9832.9,222,-0.5,223,0,173,18056.3,97,0.1,100,0,143,18308.7,118,22.7,136,0,184,14618.8,166,16.7,190,0,251
Hillingdon,15515,151,18.2,159,0,195,0.1,181,26225.9,194,16509.2,126,0.1,142,0,199,33575,67,13767.7,188,0.1,197,0,209,13440.3,76,15003.8,185,16.4,209,0,243,11646.6,194,-0.4,193,0,173,19392.7,83,0.2,81,0.1,105,23978.7,28,29.6,27,0.2,64,17275.2,117,20.3,136,0,250
Hounslow,18652.5,95,21.5,122,0,189,0.1,166,27292.9,177,18673.2,86,0.1,111,0,186,34173,64,14821.5,169,0.1,183,0,200,13243.8,77,12471.6,239,13.3,247,0,243,12989.8,181,-0.3,182,0,173,21438.9,55,0.4,61,0.1,95,27890.8,12,35.1,11,0.4,11,23240.4,36,29.8,48,0.1,142
Islington,22490.2,28,27.5,53,0,126,0.3,74,29301.7,126,23301.6,17,0.2,35,0.1,79,40551,47,20245.8,63,0.1,84,0.1,105,18240.5,48,12332.8,244,12.5,255,0,243,20276.5,82,0.3,89,0,166,24433.6,13,0.6,21,0.2,48,24133.7,27,28.2,35,0,197,26061.4,13,35.4,23,0.2,52
Kensington and Chelsea,17177.5,122,21.5,121,0.1,91,0.2,106,30007.4,112,13962.5,187,0.1,137,0.2,48,18502,122,12503.4,211,0.1,179,0.1,84,8196.5,126,5295.1,313,5.2,315,0,243,6985.2,270,-1.2,307,0,173,20751.8,64,0.3,68,0.1,87,28557,7,36.1,9,0.4,10,28690.6,3,42,6,0.4,13
Kingston upon Thames,9412.3,270,11.4,273,0,195,0,262,20278.7,285,11391.6,236,0.1,242,0,192,13293,166,8638.4,281,0.1,282,0,209,5718.8,181,7002.7,306,6.9,307,0,243,5470.8,289,-1,287,0,173,11848.6,207,-0.3,205,0,201,20641.3,60,24.7,83,0,200,20231.1,72,24.7,90,0,198
Lambeth,21351.4,42,25.4,81,0,195,0.2,108,28390.9,156,20983.2,45,0.2,70,0,137,48928,31,17311.7,118,0.1,136,0,187,21179,30,10677.9,267,10.5,280,0,243,18598.8,99,0.1,103,0,136,23226.8,26,0.5,29,0.1,59,24286.8,26,28.4,31,0,195,28937.8,2,44.4,3,0.4,11
Lewisham,21959.3,35,26.7,63,0,148,0.2,84,28994.1,136,22217.2,28,0.2,50,0.1,122,48333,33,19342,76,0.1,99,0,146,20378,37,13445.4,223,13.9,239,0,243,17636.2,115,0.1,120,0,171,21786.7,50,0.4,57,0.1,109,27807.6,13,34.8,13,0.4,12,26197,11,36.4,20,0.2,40
Merton,12224.6,214,14.6,213,0,195,0,214,25452,209,14087,184,0.1,181,0,181,20586,114,10933.5,241,0.1,238,0,209,8321.8,124,9047.2,288,9.2,290,0,243,9260.8,234,-0.6,243,0,173,15738.5,139,-0.1,136,0,181,17907.6,128,22.2,145,0,220,23193.2,38,29.6,50,0,162
Newham,24138.7,12,29.6,43,0,154,0.3,67,28987.1,137,23168,19,0.2,44,0,142,56769,15,17778.8,107,0.1,137,0,185,20831.8,35,17121.4,134,17.8,186,0,243,16231.9,136,0,135,0,170,22834.5,29,0.5,35,0.1,77,32336.6,1,49.3,1,1,1,24540.7,25,32.5,40,0.1,93
Redbridge,15082.6,160,17.2,173,0,195,0,207,25538.1,207,17685.5,110,0.1,132,0,177,35863,58,13372.1,195,0.1,208,0,206,13017.3,80,11277.8,260,11.1,270,0,243,7444.1,265,-0.7,261,0,173,20354.9,71,0.3,71,0.1,120,23376.2,31,28,36,0.1,144,20635.3,67,25.2,82,0,205
Richmond upon Thames,7159.2,297,9.4,295,0,195,0,273,20998.5,275,8767.3,285,0.1,283,0,201,12371,179,7627.3,297,0.1,291,0,196,5816,177,3528.7,317,3.5,317,0,243,3290.6,310,-1.4,311,0,173,15404.3,146,-0.1,146,0,197,12828.8,242,17.5,242,0,250,21705.8,55,26.6,69,0,251
Southwark,21247.4,43,25.8,72,0,147,0.2,91,28759,145,21355,40,0.2,54,0.1,102,49900,29,17890.9,106,0.1,123,0,207,20959.5,33,11263.6,262,11.1,271,0,243,18240.1,107,0.1,112,0,156,22487.7,37,0.5,40,0.2,52,26853.8,16,32.7,16,0.2,50,26080,12,36,22,0.2,48
Sutton,11415.3,227,14,226,0,188,0.1,186,26618,186,13312,199,0.1,197,0,169,18870,118,12008.2,223,0.1,217,0,154,8299.3,125,11318.2,259,12,263,0,238,9551.5,225,-0.6,232,0,173,14074.4,172,-0.2,172,0,201,18566.7,110,22.8,134,0,239,17857.3,105,21.3,126,0,245
Tower Hamlets,22507.1,27,27.9,50,0,175,0.3,57,29011.4,134,23902.9,10,0.2,23,0.2,55,56191,16,18064.2,101,0.1,114,0,202,20889.5,34,15428,176,16.9,201,0,239,19333.3,95,0.2,98,0,151,22835.7,28,0.5,33,0.2,35,25818.1,19,30.5,24,0.1,153,24554.1,24,33.2,36,0.1,71
Waltham Forest,21186.6,45,25.2,82,0,162,0.2,115,28906.7,141,21174.6,43,0.2,72,0.1,111,41052,46,17533.2,111,0.1,135,0,160,16108,61,16218.9,155,17,199,0,243,14437.3,161,-0.2,162,0,173,21961.7,46,0.4,56,0,137,28669.3,6,36.5,7,0.5,8,25529.8,19,34.3,33,0.2,55
Wandsworth,14312.2,173,16.6,183,0,195,0,199,25999.8,198,15134.7,162,0.1,167,0,180,33856,65,11027.8,238,0.1,241,0,209,14180,72,6838,308,6.6,308,0,243,11755.8,193,-0.4,196,0,173,17975.9,101,0.1,103,0,152,22221.2,39,27,47,0.1,122,24522.8,26,32.5,39,0.1,107
Westminster,16573.8,134,20.3,137,0,155,0.2,131,29203.1,132,16667.5,121,0.1,101,0.1,76,32018,73,14096.2,182,0.1,160,0.1,87,14187.5,71,8630.1,293,8.5,297,0,243,9103.6,238,-0.9,272,0,167,17774.9,105,0.1,106,0.1,102,19435.9,83,23.1,129,0,250,27971.7,4,40.9,8,0.4,17
