date,London_total,City of London,City of Westminster,London Borough of Barking and Dagenham,London Borough of Barnet,London Borough of Bexley,London Borough of Brent,London Borough of Bromley,London Borough of Camden,London Borough of Croydon,London Borough of Ealing,London Borough of Enfield,London Borough of Hackney,London Borough of Hammersmith and Fulham,London Borough of Haringey,London Borough of Harrow,London Borough of Havering,London Borough of Hillingdon,London Borough of Hounslow,London Borough of Islington,London Borough of Lambeth,London Borough of Lewisham,London Borough of Merton,London Borough of Newham,London Borough of Redbridge,London Borough of Richmond upon Thames,London Borough of Southwark,London Borough of Sutton,London Borough of Tower Hamlets,London Borough of Waltham Forest,London Borough of Wandsworth,Royal Borough of Greenwich,Royal Borough of Kensington and Chelsea,Royal Borough of Kingston upon Thames
2020-06-23,-13.0,-74.0,-42.0,-4.0,-8.0,-7.0,-4.0,-5.0,-34.0,-7.0,-4.0,-4.0,2.0,-17.0,-6.0,-8.0,-10.0,-11.0,-9.0,-22.0,-9.0,4.0,-8.0,-5.0,-3.0,-3.0,-18.0,-10.0,-20.0,-7.0,-6.0,0.0,-10.0,-11.0
2020-06-24,-12.0,-72.0,-43.0,-3.0,-5.0,-5.0,-3.0,-5.0,-34.0,-5.0,-3.0,-3.0,7.0,-18.0,-8.0,-7.0,-6.0,-7.0,-7.0,-19.0,-9.0,5.0,-6.0,-7.0,-2.0,-5.0,-17.0,-9.0,-18.0,-5.0,-5.0,2.0,-10.0,-9.0
2020-06-25,-11.0,-73.0,-44.0,0.0,-3.0,-2.0,-3.0,-4.0,-34.0,-2.0,-3.0,-1.0,8.0,-17.0,-7.0,-6.0,-5.0,-6.0,-6.0,-16.0,-6.0,11.0,-4.0,-6.0,-3.0,-1.0,-15.0,-8.0,-20.0,-2.0,-3.0,3.0,-4.0,-7.0
2020-06-26,-11.0,-71.0,-44.0,-4.0,-3.0,-2.0,-2.0,-6.0,-32.0,-2.0,-2.0,-3.0,10.0,-16.0,-7.0,-7.0,-8.0,-7.0,-4.0,-15.0,-6.0,7.0,-6.0,-4.0,-3.0,-4.0,-15.0,-10.0,-16.0,-5.0,-1.0,3.0,-5.0,-8.0
2020-06-27,-18.0,-57.0,-49.0,-7.0,-13.0,-10.0,-11.0,-15.0,-43.0,-11.0,-9.0,-11.0,-6.0,-24.0,-17.0,-17.0,-16.0,-15.0,-11.0,-10.0,-13.0,-3.0,-11.0,-11.0,-10.0,-14.0,-23.0,-19.0,-23.0,-14.0,-11.0,-10.0,-21.0,-17.0
2020-06-28,-23.0,-52.0,-48.0,-18.0,-17.0,-20.0,-17.0,-15.0,-41.0,-18.0,-11.0,-14.0,-12.0,-30.0,-22.0,-19.0,-13.0,-24.0,-14.0,-20.0,-21.0,-13.0,-20.0,-20.0,-15.0,-17.0,-24.0,-20.0,-35.0,-20.0,-21.0,-15.0,-18.0,-20.0
2020-06-29,-15.0,-74.0,-46.0,-8.0,-8.0,-12.0,-7.0,-10.0,-38.0,-11.0,-7.0,-6.0,-5.0,-23.0,-9.0,-13.0,-12.0,-12.0,-10.0,-25.0,-15.0,-2.0,-9.0,-10.0,-7.0,-11.0,-20.0,-12.0,-23.0,-9.0,-11.0,-5.0,-12.0,-12.0
2020-06-30,-18.0,-76.0,-48.0,-8.0,-13.0,-11.0,-8.0,-13.0,-40.0,-13.0,-9.0,-8.0,-4.0,-23.0,-9.0,-12.0,-11.0,-13.0,-14.0,-25.0,-16.0,-2.0,-13.0,-9.0,-9.0,-11.0,-22.0,-17.0,-23.0,-10.0,-15.0,-7.0,-14.0,-19.0
2020-07-01,-17.0,-75.0,-48.0,-9.0,-11.0,-9.0,-8.0,-12.0,-40.0,-12.0,-8.0,-9.0,-5.0,-22.0,-10.0,-13.0,-10.0,-13.0,-13.0,-24.0,-15.0,-1.0,-13.0,-10.0,-9.0,-13.0,-21.0,-15.0,-23.0,-8.0,-12.0,-5.0,-13.0,-19.0
2020-07-02,-17.0,-75.0,-49.0,-7.0,-11.0,-6.0,-9.0,-10.0,-41.0,-7.0,-8.0,-10.0,-6.0,-23.0,-12.0,-13.0,-9.0,-11.0,-12.0,-25.0,-14.0,2.0,-10.0,-11.0,-10.0,-6.0,-20.0,-10.0,-25.0,-8.0,-12.0,-7.0,-13.0,-15.0
2020-07-03,-13.0,-71.0,-44.0,-3.0,-8.0,-6.0,-4.0,-10.0,-35.0,-7.0,-7.0,-6.0,5.0,-19.0,-9.0,-9.0,-9.0,-10.0,-11.0,-18.0,-10.0,5.0,-10.0,-6.0,-5.0,-5.0,-16.0,-11.0,-17.0,-7.0,-8.0,-3.0,-9.0,-14.0
2020-07-04,-19.0,-54.0,-45.0,-7.0,-16.0,-11.0,-12.0,-17.0,-39.0,-12.0,-11.0,-13.0,-8.0,-23.0,-16.0,-15.0,-14.0,-16.0,-14.0,-14.0,-13.0,-6.0,-16.0,-13.0,-11.0,-11.0,-22.0,-20.0,-23.0,-14.0,-14.0,-11.0,-22.0,-19.0
2020-07-05,-20.0,-52.0,-40.0,-14.0,-15.0,-15.0,-10.0,-21.0,-37.0,-16.0,-11.0,-15.0,-10.0,-27.0,-21.0,-17.0,-13.0,-21.0,-15.0,-19.0,-18.0,-11.0,-22.0,-15.0,-10.0,-13.0,-21.0,-20.0,-31.0,-16.0,-20.0,-13.0,-17.0,-21.0
2020-07-06,-15.0,-74.0,-44.0,-7.0,-8.0,-10.0,-4.0,-11.0,-38.0,-11.0,-7.0,-9.0,-6.0,-21.0,-10.0,-12.0,-12.0,-11.0,-12.0,-27.0,-14.0,-4.0,-10.0,-7.0,-5.0,-11.0,-19.0,-13.0,-20.0,-9.0,-14.0,-6.0,-14.0,-16.0
2020-07-07,-18.0,-75.0,-47.0,-11.0,-14.0,-9.0,-11.0,-10.0,-38.0,-11.0,-11.0,-12.0,-7.0,-24.0,-12.0,-13.0,-11.0,-15.0,-15.0,-25.0,-16.0,-4.0,-14.0,-10.0,-9.0,-11.0,-23.0,-13.0,-19.0,-10.0,-15.0,-9.0,-16.0,-16.0
2020-07-08,-20.0,-75.0,-48.0,-12.0,-15.0,-11.0,-10.0,-14.0,-42.0,-15.0,-13.0,-13.0,-9.0,-25.0,-17.0,-16.0,-12.0,-15.0,-17.0,-29.0,-17.0,-5.0,-15.0,-13.0,-12.0,-16.0,-26.0,-17.0,-22.0,-12.0,-17.0,-13.0,-18.0,-20.0
2020-07-09,-18.0,-74.0,-47.0,-9.0,-15.0,-8.0,-10.0,-10.0,-41.0,-10.0,-12.0,-11.0,-7.0,-24.0,-14.0,-16.0,-8.0,-14.0,-13.0,-26.0,-14.0,0.0,-12.0,-11.0,-9.0,-11.0,-21.0,-12.0,-21.0,-9.0,-13.0,-8.0,-16.0,-15.0
2020-07-10,-14.0,-70.0,-43.0,-5.0,-7.0,-5.0,-2.0,-11.0,-34.0,-8.0,-6.0,-8.0,1.0,-20.0,-11.0,-9.0,-10.0,-10.0,-9.0,-20.0,-10.0,1.0,-10.0,-6.0,-5.0,-8.0,-17.0,-13.0,-14.0,-7.0,-12.0,-5.0,-12.0,-15.0
2020-07-11,-18.0,-51.0,-41.0,-7.0,-13.0,-10.0,-11.0,-15.0,-38.0,-12.0,-10.0,-13.0,-8.0,-27.0,-16.0,-15.0,-10.0,-15.0,-14.0,-13.0,-10.0,-5.0,-14.0,-12.0,-11.0,-7.0,-21.0,-18.0,-16.0,-14.0,-15.0,-10.0,-17.0,-16.0
2020-07-12,-20.0,-49.0,-39.0,-15.0,-17.0,-17.0,-16.0,-16.0,-38.0,-19.0,-12.0,-15.0,-12.0,-29.0,-19.0,-18.0,-12.0,-20.0,-14.0,-18.0,-17.0,-13.0,-20.0,-15.0,-13.0,-14.0,-20.0,-20.0,-29.0,-19.0,-20.0,-14.0,-14.0,-21.0
2020-07-13,-15.0,-74.0,-41.0,-6.0,-8.0,-9.0,-8.0,-11.0,-39.0,-12.0,-8.0,-10.0,-9.0,-23.0,-10.0,-14.0,-8.0,-11.0,-12.0,-27.0,-12.0,-2.0,-12.0,-8.0,-5.0,-9.0,-19.0,-13.0,-17.0,-10.0,-14.0,-6.0,-12.0,-14.0
2020-07-14,-17.0,-73.0,-44.0,-8.0,-13.0,-8.0,-9.0,-10.0,-39.0,-13.0,-10.0,-10.0,-7.0,-24.0,-14.0,-14.0,-9.0,-15.0,-15.0,-26.0,-15.0,-4.0,-13.0,-10.0,-9.0,-11.0,-22.0,-13.0,-18.0,-8.0,-15.0,-9.0,-14.0,-17.0
2020-07-15,-19.0,-73.0,-47.0,-9.0,-14.0,-10.0,-13.0,-13.0,-40.0,-14.0,-12.0,-12.0,-10.0,-27.0,-17.0,-17.0,-11.0,-15.0,-16.0,-28.0,-15.0,-3.0,-14.0,-11.0,-9.0,-13.0,-23.0,-16.0,-20.0,-11.0,-17.0,-12.0,-17.0,-19.0
2020-07-16,-16.0,-73.0,-44.0,-5.0,-10.0,-6.0,-8.0,-9.0,-38.0,-8.0,-10.0,-8.0,-6.0,-24.0,-12.0,-11.0,-5.0,-10.0,-14.0,-23.0,-12.0,2.0,-11.0,-9.0,-7.0,-8.0,-20.0,-11.0,-18.0,-7.0,-13.0,-7.0,-11.0,-14.0
2020-07-17,-14.0,-69.0,-40.0,-4.0,-7.0,-7.0,-4.0,-10.0,-34.0,-9.0,-8.0,-9.0,1.0,-22.0,-11.0,-9.0,-8.0,-9.0,-9.0,-21.0,-9.0,1.0,-11.0,-8.0,-5.0,-7.0,-16.0,-11.0,-10.0,-8.0,-10.0,-2.0,-11.0,-14.0
2020-07-18,-19.0,-49.0,-41.0,-9.0,-14.0,-11.0,-13.0,-15.0,-39.0,-12.0,-11.0,-14.0,-9.0,-29.0,-18.0,-15.0,-12.0,-14.0,-14.0,-16.0,-13.0,-7.0,-16.0,-14.0,-11.0,-10.0,-22.0,-18.0,-16.0,-15.0,-17.0,-11.0,-20.0,-19.0
2020-07-19,-25.0,-53.0,-46.0,-20.0,-19.0,-20.0,-14.0,-22.0,-45.0,-22.0,-16.0,-19.0,-19.0,-35.0,-26.0,-21.0,-15.0,-21.0,-18.0,-25.0,-25.0,-17.0,-26.0,-18.0,-17.0,-23.0,-26.0,-23.0,-28.0,-22.0,-29.0,-23.0,-23.0,-24.0
2020-07-20,-14.0,-72.0,-39.0,-9.0,-7.0,-11.0,-7.0,-10.0,-38.0,-11.0,-7.0,-8.0,-6.0,-25.0,-12.0,-12.0,-8.0,-11.0,-12.0,-28.0,-13.0,-2.0,-12.0,-6.0,-5.0,-9.0,-17.0,-10.0,-15.0,-10.0,-13.0,-5.0,-11.0,-15.0
2020-07-21,-17.0,-71.0,-42.0,-9.0,-13.0,-10.0,-9.0,-8.0,-38.0,-13.0,-10.0,-10.0,-7.0,-26.0,-12.0,-15.0,-9.0,-13.0,-16.0,-27.0,-15.0,-4.0,-14.0,-9.0,-8.0,-11.0,-21.0,-12.0,-16.0,-10.0,-15.0,-9.0,-14.0,-17.0
2020-07-22,-18.0,-70.0,-43.0,-9.0,-11.0,-9.0,-10.0,-13.0,-39.0,-12.0,-11.0,-11.0,-5.0,-27.0,-15.0,-14.0,-9.0,-13.0,-14.0,-28.0,-15.0,-1.0,-14.0,-10.0,-8.0,-12.0,-21.0,-14.0,-15.0,-12.0,-15.0,-7.0,-17.0,-18.0
2020-07-23,-17.0,-71.0,-44.0,-7.0,-10.0,-7.0,-7.0,-10.0,-39.0,-9.0,-10.0,-10.0,-8.0,-26.0,-13.0,-13.0,-6.0,-11.0,-13.0,-26.0,-14.0,0.0,-12.0,-9.0,-8.0,-8.0,-20.0,-10.0,-18.0,-7.0,-15.0,-6.0,-13.0,-13.0
2020-07-24,-18.0,-69.0,-43.0,-8.0,-13.0,-10.0,-8.0,-14.0,-38.0,-10.0,-13.0,-12.0,-6.0,-25.0,-16.0,-13.0,-11.0,-14.0,-13.0,-26.0,-14.0,-3.0,-17.0,-10.0,-9.0,-11.0,-20.0,-15.0,-19.0,-8.0,-17.0,-9.0,-18.0,-18.0
2020-07-25,-25.0,-53.0,-49.0,-15.0,-19.0,-17.0,-17.0,-21.0,-47.0,-16.0,-20.0,-19.0,-20.0,-33.0,-25.0,-22.0,-16.0,-19.0,-20.0,-23.0,-21.0,-12.0,-23.0,-18.0,-17.0,-22.0,-28.0,-23.0,-21.0,-14.0,-25.0,-18.0,-30.0,-25.0
2020-07-26,-24.0,-49.0,-44.0,-20.0,-20.0,-18.0,-18.0,-18.0,-42.0,-17.0,-15.0,-19.0,-21.0,-35.0,-26.0,-22.0,-16.0,-21.0,-17.0,-26.0,-20.0,-16.0,-25.0,-16.0,-15.0,-20.0,-23.0,-25.0,-25.0,-15.0,-25.0,-16.0,-25.0,-23.0
2020-07-27,-19.0,-74.0,-46.0,-12.0,-14.0,-13.0,-11.0,-15.0,-43.0,-13.0,-13.0,-14.0,-14.0,-31.0,-17.0,-18.0,-12.0,-15.0,-17.0,-33.0,-18.0,-6.0,-16.0,-10.0,-12.0,-18.0,-22.0,-14.0,-19.0,-7.0,-19.0,-12.0,-22.0,-20.0
2020-07-28,-17.0,-71.0,-44.0,-11.0,-12.0,-9.0,-7.0,-10.0,-39.0,-9.0,-10.0,-11.0,-8.0,-24.0,-13.0,-12.0,-11.0,-13.0,-14.0,-28.0,-15.0,-2.0,-14.0,-7.0,-6.0,-11.0,-20.0,-14.0,-15.0,-5.0,-16.0,-9.0,-18.0,-18.0
2020-07-29,-16.0,-70.0,-43.0,-6.0,-12.0,-7.0,-8.0,-11.0,-38.0,-8.0,-10.0,-12.0,-8.0,-24.0,-16.0,-11.0,-6.0,-11.0,-11.0,-28.0,-13.0,1.0,-15.0,-4.0,-3.0,-14.0,-20.0,-11.0,-12.0,-4.0,-15.0,-7.0,-18.0,-17.0
2020-07-30,-13.0,-71.0,-42.0,-1.0,-8.0,-5.0,-4.0,-8.0,-35.0,-3.0,-6.0,-5.0,-7.0,-23.0,-11.0,-3.0,-5.0,-4.0,-7.0,-23.0,-11.0,8.0,-8.0,2.0,5.0,-9.0,-16.0,-8.0,-11.0,4.0,-11.0,-1.0,-15.0,-13.0
2020-07-31,-18.0,-70.0,-43.0,-8.0,-10.0,-11.0,-9.0,-13.0,-36.0,-8.0,-12.0,-11.0,-5.0,-27.0,-18.0,-10.0,-12.0,-11.0,-14.0,-26.0,-12.0,0.0,-14.0,-14.0,-12.0,-11.0,-20.0,-16.0,-19.0,-8.0,-14.0,-8.0,-21.0,-19.0
2020-08-01,-21.0,-49.0,-41.0,-10.0,-17.0,-13.0,-16.0,-17.0,-40.0,-12.0,-14.0,-16.0,-14.0,-32.0,-25.0,-14.0,-14.0,-14.0,-15.0,-18.0,-14.0,-7.0,-17.0,-17.0,-11.0,-14.0,-23.0,-21.0,-19.0,-11.0,-20.0,-14.0,-25.0,-21.0
2020-08-02,-23.0,-45.0,-41.0,-15.0,-19.0,-17.0,-17.0,-23.0,-40.0,-15.0,-15.0,-18.0,-16.0,-35.0,-26.0,-18.0,-10.0,-20.0,-15.0,-24.0,-21.0,-13.0,-23.0,-18.0,-12.0,-20.0,-21.0,-21.0,-24.0,-16.0,-26.0,-16.0,-24.0,-24.0
2020-08-03,-17.0,-72.0,-42.0,-10.0,-11.0,-13.0,-9.0,-13.0,-39.0,-10.0,-11.0,-11.0,-11.0,-27.0,-17.0,-11.0,-12.0,-13.0,-13.0,-32.0,-16.0,-5.0,-14.0,-10.0,-8.0,-13.0,-21.0,-12.0,-17.0,-8.0,-16.0,-10.0,-17.0,-16.0
2020-08-04,-19.0,-71.0,-41.0,-10.0,-16.0,-11.0,-13.0,-14.0,-38.0,-10.0,-13.0,-13.0,-12.0,-28.0,-18.0,-14.0,-15.0,-15.0,-17.0,-31.0,-18.0,-4.0,-15.0,-11.0,-10.0,-14.0,-22.0,-15.0,-18.0,-7.0,-18.0,-9.0,-19.0,-19.0
2020-08-05,-20.0,-70.0,-43.0,-12.0,-17.0,-10.0,-11.0,-14.0,-39.0,-12.0,-15.0,-13.0,-13.0,-29.0,-19.0,-14.0,-10.0,-15.0,-16.0,-30.0,-18.0,-4.0,-15.0,-12.0,-11.0,-18.0,-23.0,-14.0,-19.0,-8.0,-21.0,-9.0,-21.0,-19.0
2020-08-06,-17.0,-70.0,-42.0,-8.0,-12.0,-7.0,-9.0,-10.0,-37.0,-5.0,-12.0,-9.0,-9.0,-27.0,-12.0,-10.0,-9.0,-7.0,-12.0,-26.0,-14.0,1.0,-10.0,-12.0,-8.0,-11.0,-20.0,-10.0,-17.0,-1.0,-17.0,-7.0,-15.0,-18.0
2020-08-07,-18.0,-68.0,-42.0,-9.0,-13.0,-9.0,-9.0,-13.0,-36.0,-9.0,-14.0,-11.0,-8.0,-28.0,-17.0,-9.0,-11.0,-10.0,-14.0,-27.0,-15.0,-1.0,-13.0,-11.0,-11.0,-14.0,-19.0,-15.0,-16.0,-7.0,-17.0,-9.0,-18.0,-19.0
2020-08-08,-22.0,-49.0,-40.0,-11.0,-18.0,-12.0,-16.0,-17.0,-41.0,-12.0,-17.0,-17.0,-15.0,-32.0,-25.0,-17.0,-16.0,-14.0,-18.0,-20.0,-18.0,-8.0,-15.0,-18.0,-15.0,-16.0,-24.0,-20.0,-20.0,-13.0,-23.0,-15.0,-25.0,-24.0
2020-08-09,-23.0,-47.0,-39.0,-17.0,-21.0,-18.0,-16.0,-15.0,-40.0,-15.0,-17.0,-18.0,-18.0,-34.0,-26.0,-20.0,-12.0,-19.0,-16.0,-24.0,-21.0,-15.0,-21.0,-19.0,-18.0,-19.0,-21.0,-22.0,-24.0,-16.0,-28.0,-19.0,-24.0,-25.0
2020-08-10,-16.0,-71.0,-39.0,-10.0,-12.0,-11.0,-8.0,-12.0,-39.0,-11.0,-12.0,-11.0,-12.0,-30.0,-14.0,-13.0,-11.0,-9.0,-14.0,-30.0,-16.0,-5.0,-11.0,-10.0,-8.0,-13.0,-19.0,-12.0,-14.0,-5.0,-17.0,-11.0,-15.0,-18.0
2020-08-11,-19.0,-69.0,-39.0,-12.0,-17.0,-10.0,-11.0,-12.0,-39.0,-11.0,-13.0,-12.0,-13.0,-29.0,-16.0,-15.0,-9.0,-12.0,-14.0,-28.0,-15.0,-3.0,-12.0,-11.0,-10.0,-14.0,-22.0,-11.0,-16.0,-7.0,-19.0,-11.0,-19.0,-21.0
2020-08-12,-19.0,-68.0,-42.0,-9.0,-16.0,-8.0,-14.0,-14.0,-41.0,-10.0,-15.0,-12.0,-14.0,-28.0,-18.0,-15.0,-8.0,-14.0,-18.0,-31.0,-19.0,-3.0,-13.0,-12.0,-11.0,-20.0,-23.0,-12.0,-17.0,-7.0,-18.0,-12.0,-20.0,-23.0
2020-08-13,-20.0,-69.0,-45.0,-9.0,-14.0,-10.0,-12.0,-13.0,-41.0,-10.0,-13.0,-11.0,-13.0,-28.0,-17.0,-14.0,-9.0,-12.0,-15.0,-28.0,-19.0,-1.0,-13.0,-15.0,-11.0,-15.0,-23.0,-16.0,-18.0,-4.0,-20.0,-10.0,-17.0,-22.0
2020-08-14,-21.0,-70.0,-47.0,-12.0,-18.0,-12.0,-14.0,-14.0,-41.0,-11.0,-14.0,-16.0,-14.0,-26.0,-18.0,-17.0,-14.0,-14.0,-15.0,-30.0,-20.0,-7.0,-15.0,-16.0,-15.0,-16.0,-23.0,-17.0,-20.0,-12.0,-19.0,-16.0,-21.0,-21.0
2020-08-15,-25.0,-50.0,-48.0,-17.0,-22.0,-15.0,-19.0,-22.0,-44.0,-15.0,-19.0,-20.0,-20.0,-34.0,-26.0,-19.0,-17.0,-17.0,-18.0,-23.0,-21.0,-11.0,-18.0,-21.0,-20.0,-18.0,-26.0,-22.0,-21.0,-15.0,-25.0,-20.0,-30.0,-25.0
2020-08-16,-26.0,-47.0,-45.0,-22.0,-24.0,-20.0,-19.0,-23.0,-45.0,-17.0,-19.0,-21.0,-26.0,-34.0,-28.0,-21.0,-15.0,-19.0,-17.0,-28.0,-24.0,-17.0,-24.0,-23.0,-21.0,-25.0,-24.0,-24.0,-27.0,-19.0,-28.0,-23.0,-29.0,-26.0
2020-08-17,-22.0,-70.0,-44.0,-15.0,-19.0,-12.0,-16.0,-16.0,-44.0,-14.0,-16.0,-18.0,-19.0,-31.0,-22.0,-18.0,-14.0,-16.0,-18.0,-34.0,-21.0,-11.0,-15.0,-16.0,-13.0,-18.0,-24.0,-15.0,-20.0,-14.0,-22.0,-15.0,-24.0,-24.0
2020-08-18,-21.0,-69.0,-44.0,-14.0,-20.0,-15.0,-16.0,-15.0,-42.0,-13.0,-16.0,-14.0,-15.0,-31.0,-17.0,-20.0,-13.0,-15.0,-19.0,-33.0,-20.0,-7.0,-17.0,-15.0,-11.0,-17.0,-24.0,-15.0,-18.0,-10.0,-22.0,-13.0,-23.0,-22.0
2020-08-19,-29.0,-71.0,-51.0,-20.0,-27.0,-17.0,-23.0,-21.0,-50.0,-22.0,-25.0,-22.0,-25.0,-37.0,-28.0,-24.0,-19.0,-20.0,-27.0,-41.0,-29.0,-15.0,-22.0,-23.0,-19.0,-29.0,-30.0,-22.0,-26.0,-19.0,-29.0,-20.0,-31.0,-29.0
2020-08-20,-16.0,-68.0,-42.0,-7.0,-14.0,-9.0,-8.0,-11.0,-37.0,-5.0,-10.0,-8.0,-7.0,-26.0,-13.0,-10.0,-8.0,-7.0,-11.0,-26.0,-15.0,2.0,-12.0,-12.0,-8.0,-11.0,-18.0,-11.0,-15.0,-2.0,-16.0,-8.0,-13.0,-17.0
2020-08-21,-20.0,-67.0,-44.0,-9.0,-16.0,-11.0,-12.0,-14.0,-39.0,-11.0,-14.0,-14.0,-13.0,-27.0,-18.0,-12.0,-12.0,-12.0,-15.0,-32.0,-17.0,-6.0,-15.0,-15.0,-11.0,-15.0,-22.0,-16.0,-18.0,-8.0,-19.0,-10.0,-19.0,-20.0
2020-08-22,-22.0,,-44.0,-11.0,-21.0,-14.0,-20.0,-18.0,-40.0,-13.0,-18.0,-18.0,-16.0,-33.0,-25.0,-18.0,-17.0,-15.0,-17.0,-21.0,-19.0,-10.0,-18.0,-20.0,-16.0,-16.0,-23.0,-20.0,-17.0,-12.0,-23.0,-15.0,-24.0,-23.0
2020-08-23,-25.0,,-43.0,-20.0,-24.0,-19.0,-19.0,-17.0,-41.0,-16.0,-19.0,-21.0,-21.0,-36.0,-29.0,-20.0,-15.0,-19.0,-17.0,-27.0,-22.0,-17.0,-23.0,-23.0,-18.0,,-24.0,-23.0,-29.0,-15.0,-27.0,-18.0,,-27.0
2020-08-24,-21.0,-69.0,-43.0,-11.0,-16.0,-13.0,-12.0,-16.0,-42.0,-16.0,-14.0,-13.0,-18.0,-33.0,-20.0,-14.0,-14.0,-14.0,-18.0,-35.0,-24.0,-12.0,-20.0,-17.0,-10.0,-20.0,-24.0,-16.0,-20.0,-8.0,-25.0,-14.0,-20.0,-24.0
2020-08-25,-23.0,-69.0,-46.0,-17.0,-23.0,-14.0,-17.0,-14.0,-44.0,-14.0,-17.0,-16.0,-21.0,-31.0,-23.0,-20.0,-16.0,-17.0,-21.0,-38.0,-22.0,-9.0,-18.0,-19.0,-14.0,-20.0,-26.0,-17.0,-20.0,-12.0,-21.0,-15.0,-24.0,-23.0
