NAME,time:Treat,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median,0-18,19-34,35-49,50-64,65+,Total_pop,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Total_car,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,NNI,z.score,p,expected.mean.distance,observed.mean.distance,Employee,employee/pop
Kingston upon Thames,34.6288447,0.16216216216216217,0.2702702702702703,0.02702702702702703,0.5405405405405406,7.13265306122449,6.255102040816326,10.0,98.11224489795919,100.0,7.489795918367347,9.724489795918368,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.1020408163265305,10.0,37,0.01,486.024879,427.41704599999997,1.081633,1,4.010204,4.0,11.969388,12.5,0.2274484944532488,0.2537617058060798,0.2301224607405273,0.15621380204581473,0.13245353695432935,173525,9412.3,270,11.4,273,0.0,195,0.0,262,20278.7,285,11391.6,236,0.1,242,0.0,192,13293,166,8638.4,281,0.1,282,0.0,209,5718.8,181,7002.7,306,6.9,307,0,243,5470.8,289,-1.0,287,0,173,11848.6,207,-0.3,205,0.0,201,20641.3,60,24.7,83,0.0,200,20231.1,72,24.7,90,0.0,198,0.25137101462939393,0.4727289869419695,0.21590534106444162,0.04495670893634406,0.015037948427850846,70421,470.99934083627664,1.1774352560744084,4.193209281887475,12.212385990411645,46.56992789007967,1.102678271,1.194841482,0.23214897,384.4098856,423.88042800000005,72450,0.4175190894683763
Croydon,19.22621058,0.06493506493506493,0.3246753246753247,0.07792207792207792,0.5324675324675324,7.245454545454545,5.622727272727273,9.936363636363636,96.01818181818182,100.0,7.704545454545454,8.822727272727272,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.131818181818182,9.986363636363636,77,0.009000000000000001,562.327722,488.469644,1.009091,1,3.831818,3.0,14.481817999999999,15.0,0.25869651822674133,0.21699808195108053,0.21828293727953652,0.17586160498745484,0.13016085755518678,379031,18371.2,102,22.5,108,0.0,157,0.2,109,29186.8,133,18584.2,89,0.1,97,0.1,115,51702,26,16769.5,128,0.1,143,0.0,195,20961.3,32,14304.1,203,15.6,220,0,224,14352.6,165,-0.2,165,0,172,20068.8,74,0.3,74,0.1,122,27123.4,15,34.0,14,0.4,14,20381.0,69,26.0,77,0.1,130,0.33461830218605615,0.43571477829115235,0.17816702296393352,0.03841804013516309,0.013081856423694917,140049,541.4990609713961,1.1286700628377855,4.2106591502676425,15.264435882185618,43.821444645960355,0.766033588,-3.9276226910000003,8.58e-05,491.7804598999999,376.7203502,120398,0.31764684155121875
Bromley,24.68669145,0.15384615384615385,0.2564102564102564,0.05128205128205128,0.5384615384615384,7.406091370558376,5.776649746192893,9.949238578680204,96.79695431472081,100.0,7.776649746192893,9.253807106598984,9.99492385786802,10.0,10.0,99.51269035532995,100.0,100.0,100.0,6.98984771573604,9.903553299492385,78,0.005,565.315801,477.31580199999996,0.9137059999999999,1,3.19797,3.0,10.593909,9.0,0.23405067460451828,0.18576481344099097,0.22458189295597755,0.18076876902760292,0.17483384997091028,324857,11297.5,230,14.2,223,0.0,192,0.1,176,27626.6,170,12232.8,219,0.1,207,0.0,135,29540,82,11414.4,231,0.1,224,0.0,208,12757.5,82,9841.2,281,10.6,277,0,243,6522.5,275,-0.9,280,0,173,15906.4,132,0.0,132,0.1,121,22995.1,32,27.8,40,0.1,112,15733.0,140,18.4,166,0.0,251,0.2347740367715609,0.45554095153673335,0.2361953813941404,0.05404166220904464,0.019447968088520732,153908,560.2588965668679,0.9526021857397333,3.2633750180540178,10.750965889942709,21.637678175629688,0.747274969,-4.269985913,1.95e-05,639.9276464,478.20191229999995,111405,0.34293550700769876
Hounslow,26.44732835,0.038461538461538464,0.23076923076923078,0.15384615384615385,0.5769230769230769,7.035211267605634,5.464788732394366,10.0,98.27464788732394,100.0,7.563380281690141,9.774647887323944,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.232394366197183,10.0,52,0.009000000000000001,462.75022800000005,381.68132,1.028169,1,3.661972,3.0,12.683099,11.5,0.2442422889459389,0.2586077315176545,0.23059865312348848,0.15338393421884883,0.11316739219406928,268770,18652.5,95,21.5,122,0.0,189,0.1,166,27292.9,177,18673.2,86,0.1,111,0.0,186,34173,64,14821.5,169,0.1,183,0.0,200,13243.8,77,12471.6,239,13.3,247,0,243,12989.8,181,-0.3,182,0,173,21438.9,55,0.4,61,0.1,95,27890.8,12,35.1,11,0.4,11,23240.4,36,29.8,48,0.1,142,0.31595751406714295,0.4504014667762534,0.17898463678320795,0.04153758614149333,0.013118796231902383,94042,452.15668441561724,1.0483494952545456,3.678774910412746,12.491623177410386,47.4981094950094,0.9831201999999999,-0.23286266,0.815868055,544.2359022,535.049309,128880,0.4795178033262641
Ealing,17.26666667,0.06557377049180328,0.3114754098360656,0.06557377049180328,0.5573770491803278,7.178571428571429,5.571428571428571,10.0,98.87755102040816,100.0,7.612244897959184,9.63265306122449,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.3061224489795915,9.98469387755102,61,0.011000000000000001,506.81610700000004,455.980489,1.0918370000000002,1,4.040816,3.0,15.158163,13.0,0.24774747200918792,0.24352953865078603,0.2318230974846892,0.15912423227491482,0.11777565958042202,343059,18991.7,88,22.7,105,0.0,163,0.2,127,28827.7,143,19531.3,63,0.1,94,0.1,114,48235,34,16590.7,136,0.1,146,0.0,161,19506.8,43,12144.4,246,12.5,253,0,243,12374.1,189,-0.3,189,0,173,19489.7,80,0.2,79,0.1,99,28039.4,11,36.5,6,0.5,9,23725.1,34,30.3,46,0.0,161,0.3533711577827566,0.44201415193178706,0.16132073951096856,0.0329862510275463,0.010307699746941538,112845,497.89838707924116,1.1401789319087436,4.036058465913412,15.108783930065593,61.76315545003014,0.8479525609999999,-2.2718251919999997,0.023097071,442.86117060000004,375.5252636,132461,0.38611725679839326
Havering,4.885461574,0.057692307692307696,0.36538461538461536,0.09615384615384616,0.4807692307692308,7.66,4.6466666666666665,9.966666666666667,96.37333333333333,99.93333333333334,7.833333333333333,8.853333333333333,10.0,10.0,10.0,99.67333333333333,100.0,100.0,100.0,7.1,9.993333333333334,52,0.005,577.63398,501.714209,0.886667,0,3.14,3.0,10.066667,8.0,0.22987333641126523,0.20645562759700503,0.19571632173755946,0.18384487223237048,0.18410984202179978,249085,14036.0,179,16.8,180,0.0,190,0.1,171,27349.3,174,15178.1,159,0.1,162,0.0,167,26766,89,14074.2,183,0.1,186,0.0,204,11171.3,97,19190.2,95,22.6,126,0,198,9832.9,222,-0.5,223,0,173,18056.3,97,0.1,100,0.0,143,18308.7,118,22.7,136,0.0,184,14618.8,166,16.7,190,0.0,251,0.23008467165300053,0.442062161133345,0.24517741952077696,0.060803094682044055,0.021872653010833444,117634,569.774230666231,0.9379199543829367,3.2825753606213786,10.134859296017753,21.76225467390255,0.913024587,-1.199855799,0.230195349,459.009792,419.0872257,84726,0.3401489451392095
Hillingdon,17.60472724,0.0847457627118644,0.22033898305084745,0.11864406779661017,0.576271186440678,8.409937888198758,3.8322981366459627,9.950310559006212,95.80745341614907,100.0,8.118012422360248,8.509316770186336,10.0,10.0,10.0,99.74534161490683,100.0,100.0,100.0,7.385093167701863,9.98136645962733,59,0.005,574.855456,524.68651,0.720497,0,2.602484,2.0,8.478261,8.0,0.2496246662300368,0.24773372294154197,0.21347171142123028,0.1584160411103834,0.13075385829680755,297735,15515.0,151,18.2,159,0.0,195,0.1,181,26225.9,194,16509.2,126,0.1,142,0.0,199,33575,67,13767.7,188,0.1,197,0.0,209,13440.3,76,15003.8,185,16.4,209,0,243,11646.6,194,-0.4,193,0,173,19392.7,83,0.2,81,0.1,105,23978.7,28,29.6,27,0.2,64,17275.2,117,20.3,136,0.0,250,0.22667491568044384,0.438481649270561,0.2513920210748997,0.061119204901510765,0.02233220907258467,122486,554.6700049452487,0.7947893244696451,2.666246293218627,8.55888486981458,25.733222023078007,0.9076291,-1.357350675,0.174669813,610.0451832,553.6947607000001,164963,0.5540598182947923
Harrow,16.6,0.125,0.45,0.05,0.375,7.956204379562044,5.124087591240876,10.0,97.51094890510949,100.0,7.9489051094890515,9.671532846715328,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.291970802919708,10.0,40,0.008,514.531705,474.858296,0.8394159999999999,1,3.3357660000000005,3.0,12.277372,13.0,0.24269817504956906,0.22248209444421965,0.21169424998988387,0.1736090316837292,0.14951644883259824,247130,13071.3,199,15.0,207,0.0,195,0.0,231,24571.7,227,16269.8,132,0.1,156,0.0,201,26735,90,12069.1,220,0.1,227,0.0,209,9792.0,109,8315.4,298,8.0,301,0,243,4760.0,298,-1.0,293,0,173,14342.3,166,-0.1,163,0.0,201,27314.5,14,33.9,15,0.3,24,16503.9,127,19.0,156,0.0,251,0.23509517254473822,0.4392296007974557,0.24912184933782694,0.059476907010965016,0.0170764703090141,100326,495.919928279939,0.9426899187768752,3.4428929765886287,12.51025641025641,48.97222337817781,0.945703084,-0.6569556320000001,0.511209445,462.0140956999999,436.9281553,73804,0.29864443814996156
Brent,8.061442681,0.038461538461538464,0.2692307692307692,0.1346153846153846,0.5576923076923077,6.566473988439307,6.1502890173410405,10.0,99.78034682080924,100.0,7.416184971098266,9.971098265895954,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.07514450867052,9.99421965317919,52,0.012,485.862642,418.92783399999996,1.17341,1,3.988439,3.0,15.572254000000001,14.0,0.24312988407836747,0.26890362085354863,0.21587472068935717,0.1590373196054467,0.11305445477328001,324012,21083.0,49,25.6,79,0.1,116,0.2,101,29908.7,114,21445.3,38,0.2,65,0.1,92,50137,27,17690.6,110,0.1,122,0.0,132,19894.8,42,14477.3,199,15.2,225,0,243,10642.8,210,-0.5,207,0,173,21996.4,45,0.4,49,0.1,68,30661.4,4,42.8,3,0.8,4,22811.3,46,28.7,54,0.0,180,0.42996391201059064,0.39531762871080645,0.1349581995901565,0.031091888362983516,0.008668371325462887,87802,470.8887839727605,1.2686743224843906,4.098398585685218,15.448323230362888,74.94604778327515,0.8108727,-2.609076285,0.0090787,446.1180403,361.74493989999996,115221,0.3556071997333432
Barnet,19.57242375,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.5789473684210527,8.014218009478673,5.2559241706161135,9.995260663507109,96.46445497630332,100.0,8.213270142180095,9.535545023696683,9.971563981042655,9.971563981042655,9.971563981042655,99.62085308056872,99.72511848341232,99.72511848341232,99.72511848341232,7.331753554502369,9.995260663507109,76,0.009000000000000001,505.49082000000004,463.63212699999997,1.0758290000000001,1,3.677725,4.0,12.914692,13.0,0.24526259511023438,0.23566004988266775,0.22159861571646416,0.15784150796305416,0.13963723132757952,379691,13803.4,184,16.1,190,0.0,193,0.1,194,26151.4,196,16104.1,137,0.1,149,0.0,185,41746,45,13169.1,201,0.1,205,0.0,209,16661.0,57,7894.6,302,7.8,302,0,243,5011.8,297,-1.1,298,0,173,17479.5,111,0.1,113,0.0,168,25355.6,20,31.2,21,0.2,42,20275.3,71,24.7,91,0.0,191,0.2871185143765267,0.4413902704611672,0.21114511904411548,0.045675270019718064,0.014670826098472586,144717,488.39592773269,1.16749985474993,3.7942071745956363,13.096931055475423,43.7692373931637,0.699819305,-5.00634111,5.55e-07,465.1602557,325.5281271,129112,0.3400449312730615
Lambeth,20.68408509,0.023529411764705882,0.35294117647058826,0.047058823529411764,0.5764705882352941,4.921348314606742,9.196629213483146,10.0,100.0,100.0,6.752808988764045,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,6.786516853932584,10.0,85,0.031,320.216877,288.539659,2.438202,2,9.168538999999999,9.0,34.780899,36.5,0.20289676387274952,0.3588991187648529,0.22663678871624474,0.13343669378080394,0.07813063486534887,324431,21351.4,42,25.4,81,0.0,195,0.2,108,28390.9,156,20983.2,45,0.2,70,0.0,137,48928,31,17311.7,118,0.1,136,0.0,187,21179.0,30,10677.9,267,10.5,280,0,243,18598.8,99,0.1,103,0,136,23226.8,26,0.5,29,0.1,59,24286.8,26,28.4,31,0.0,195,28937.8,2,44.4,3,0.4,11,0.5784935816085589,0.3467008160471323,0.06266103663367098,0.009375697024235293,0.0027688686864025475,66791,318.2753646522563,2.518568615543164,9.239671322622794,35.20259236766717,119.05986920812936,0.865969457,-2.363981767,0.018079702,304.8624338,264.0015563,137664,0.42432443262203673
Southwark,3.649503259,0.0410958904109589,0.3424657534246575,0.0684931506849315,0.547945205479452,4.981927710843373,8.536144578313253,10.0,99.75903614457832,100.0,6.837349397590361,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,6.837349397590361,9.993975903614459,73,0.024,321.26988,290.056916,2.487952,2,9.361446,8.0,38.325301,34.5,0.21369306023612744,0.33719541212233045,0.22913813810897343,0.1405952068785792,0.07937818265398947,308901,21247.4,43,25.8,72,0.0,147,0.2,91,28759.0,145,21355.0,40,0.2,54,0.1,102,49900,29,17890.9,106,0.1,123,0.0,207,20959.5,33,11263.6,262,11.1,271,0,243,18240.1,107,0.1,112,0,156,22487.7,37,0.5,40,0.2,52,26853.8,16,32.7,16,0.2,50,26080.0,12,36.0,22,0.2,48,0.5838800219229044,0.3456345186095564,0.05956552789357426,0.00857816678015645,0.0023417647938084405,60438,311.05854797405243,2.515594517454443,9.314252109274536,38.12186117993915,103.26509189861399,1.042798864,0.699559333,0.48420254700000004,279.757585,291.7308918,183496,0.5940285075153529
Lewisham,28.11111111,0.05084745762711865,0.3220338983050847,0.06779661016949153,0.559322033898305,5.798816568047338,7.183431952662722,10.0,99.77514792899409,100.0,7.0828402366863905,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,6.804733727810651,10.0,59,0.017,413.419489,373.53973199999996,1.43787,1,5.372781,5.0,20.609467000000002,20.0,0.2379820062221475,0.2779550996384428,0.2434507693601278,0.14763306146472716,0.09297906331455479,297325,21959.3,35,26.7,63,0.0,148,0.2,84,28994.1,136,22217.2,28,0.2,50,0.1,122,48333,33,19342.0,76,0.1,99,0.0,146,20378.0,37,13445.4,223,13.9,239,0,243,17636.2,115,0.1,120,0,171,21786.7,50,0.4,57,0.1,109,27807.6,13,34.8,13,0.4,12,26197.0,11,36.4,20,0.2,40,0.48145851099568443,0.4047772867836439,0.09328027151114213,0.016151122826058868,0.0043328078834707255,76507,404.42737276094437,1.4894553396851968,5.440874700008501,20.91127444889845,84.1873587439045,0.937158678,-0.92342622,0.355785133,338.19528030000004,316.9426418,78895,0.26534936517279073
Greenwich,35.02065143,0.047619047619047616,0.3492063492063492,0.09523809523809523,0.5079365079365079,6.264900662251655,6.9072847682119205,10.0,99.13907284768212,100.0,7.2781456953642385,9.894039735099337,10.0,10.0,10.0,100.0,100.0,100.0,100.0,7.059602649006623,10.0,63,0.012,475.931013,433.441346,1.18543,1,4.059603,3.0,14.139073000000002,13.0,0.25178036629876677,0.26556842538109116,0.2336874051593323,0.1446454369129886,0.10431836624782116,274803,20383.8,60,24.5,88,0.0,191,0.2,105,28579.9,151,21413.4,39,0.2,57,0.1,120,43334,43,18637.7,90,0.1,107,0.0,166,17715.5,51,14736.5,193,15.6,218,0,243,16405.4,132,0.0,134,0,169,22514.7,36,0.5,45,0.1,91,26085.3,17,32.3,17,0.3,20,20159.7,73,24.6,92,0.0,170,0.42015933494977487,0.4261269731307833,0.12393488049878768,0.02296996387748033,0.006808847543173834,78185,453.6574771130002,1.333435205701148,4.303005466378646,14.603520847948545,54.47911359405574,0.77049461,-3.4849299030000003,0.000492266,435.23651179999996,335.3473865,86199,0.31367561489503387
